Specimen No;genus;species;coloniality;growth form ;corallite integration;mean corallite diameter [mm];colony height [mm];colony width [mm];number of incisions;length of incisions [mm] top;length of incisions [mm] bottom;width of incisons [mm] top ;width of incisions [mm] bottom;distance to next incision [mm];incisions on top ;incisions on bottom;bioerosion;
KCo8-4;Anabacia;acaulis;solitary;?;solitary;9.57;1.96;9.57;0;;;;;;;;;
KCo9-1;Trocharea ;patelliformis;solitary;patellate;solitary;17.13;7.99;17.13;0;;;;;;;;;
KCo10-1;Kobya;crassolamellosa;colony;wedge-shaped;thamnasteroid;4.6;9.74;12.72;0;;;;;;;;;serpulids
KCo11-1;Actinastrea ;bernensis;colony;nodular;cerioid;2.42;12.22;21.5;0;;;;;;;;;serpulids
KCo12-1;Amphiastraea ;piriformis;colony;globose;cerioid;3.24;41.65;83.4;0;;;;;;;;;
KCo13-1;Amphiastraea ;piriformis;colony;globose;cerioid;2.24;26.23;20.64;0;;;;;;;;1;
KCo13-2;Amphiastraea ;piriformis;colony;globose;cerioid;2.19;20.86;18.81;0;;;;;;;;;
KCo13-2;Amphiastraea ;piriformis;colony;globose;cerioid;15.72;20.86;18.81;0;;;;;;;;;
KCo13-3;Amphiastraea ;piriformis;colony;globose;cerioid;1.73;5.1;19.69;0;;;;;;;;;
KCo13-4;Amphiastraea ;piriformis;colony;globose;cerioid;1.61;9.73;22.18;0;;;;;;;;;serpulids, gastropods
KCo13-5;Amphiastraea ;piriformis;colony;globose;cerioid;1.5;10.57;21.08;0;;;;;;;;;
KCo13-6;Amphiastraea ;piriformis;colony;globose;cerioid;2.23;12.88;19.57;0;;;;;;;;;
KCo13-7;Amphiastraea ;piriformis;colony;globose;cerioid;2.28;15.27;18.5;0;;;;;;;;;
KCo14-1;Amphiastraea ;piriformis;colony;globose;cerioid;2.26;30.24;41.24;0;;;;;;;;;
KCo14-2;Amphiastraea ;piriformis;colony;globose;cerioid;2.91;31.59;15.65;0;;;;;;;;;
KCo14-3;Amphiastraea ;piriformis;colony;globose;cerioid;3.15;90.66;51.84;0;;;;;;;;;
KCo14-4;Amphiastraea ;piriformis;colony;globose;cerioid;2.47;59.78;104.06;0;;;;;;;;;
KCo15-1;Amphiastraea ;piriformis;colony;globose;cerioid;3.19;79.4;82.01;0;;;;;;;;;
KCo16-1;Amphiastraea ;piriformis;colony;flat;cerioid;2.55;16.93;162.91;0;;;;;;;;;
